# id	direction	type	payload hex	decoded meaning
# Protocol v3, Phase 1 table. Generated by scripts/generate-v3-vectors.py from the protocol.md layout;
# the Rust codec is tested against these bytes, never the other way round.
# Shared v2 control type 18 appears once to pin that its layout is unchanged in a v3 session.
cancel-shared-with-v2	request	18	0700000000000000	related_id=7
features	request	42	0300000000000000	features=3 (LOCKS|LEASES)
features-ack	response	43	01000000000000000100000000000000	related_id=1, features=1 (LOCKS)
mount-root-rw	request	50	0000000000	export=[] (server root), requested_access=rw
mount-info-ro-squashed	response	51	0200000000000000050000006d6564696101000c0000006578706f727420697320726f0e000000726f2c726f6f745f7371756173680100ff00000000100000020000000000000000001000000010000000000000000000	related_id=2, export="media", access=ro, effective_writable=false, reason="export is ro", options="ro,root_squash", case_sensitive=true, normalization=none, max_name_len=255, max_path_len=4096, supports=2 (SYMLINKS), max_read=1048576, max_write=1048576, attr_cache_ms=0, dir_cache_ms=0
open-read-nofollow	request	56	0100000061410000000000000020000000	path=[61], flags=0x41 (READ|NOFOLLOW), mode=0, attr_mask=0x20 (IDENTITY)
opened-minimal-attrs	response	57	03000000000000000a000000000000000000000001a40100000400000000000000feffffffffffffff11111111111111111111111111111111	related_id=3, handle=10, attrs(presence=0, kind=1, mode=420, size=4, mtime_ns=-2, cookie=[11;16])
close	request	58	0a00000000000000	handle=10
read-with-digest	request	59	0a0000000000000000100000000000000000010001	handle=10, offset=4096, length=65536, want_digest=true
read-data-eof-digest	response	60	040000000000000000100000000000000101abababababababababababababababababababababababababababababababab020000006869	related_id=4, offset=4096, eof=true, digest_present=true, digest=[ab;32], data="hi"
write-plain	request	61	0a00000000000000000000000000000000020000006869	handle=10, offset=0, digest_present=false, data="hi"
write-ack	response	62	05000000000000000200000002000000000000000022222222222222222222222222222222	related_id=5, bytes_written=2, new_size=2, stable=false, cookie=[22;16]
flush	request	63	0a00000000000000	handle=10
stat-path-follow	request	80	00010000006100000000000000000101020000	target=path, path=[61], handle=0, follow=true, attr_mask=0x201 (OWNER|NAMES)
attrs-symlink-with-owner	response	81	06000000000000008100000003ff0100000100000000000000000000000000000033333333333333333333333333333333e8030000e80300000100000062	related_id=6, attrs(presence=0x81 (OWNER|SYMLINK_TARGET), kind=3, mode=511, size=1, mtime_ns=0, cookie=[33;16], uid=1000, gid=1000, target=[62])
readdir	request	82	0b00000000000000000000000000000000010000ff070000	handle=11, cursor=0, max_entries=256, attr_mask=0x7ff (every known block)
readdir-forward-compatible-mask	request	82	0b0000000000000000000000000000000001000000080000	handle=11, cursor=0, max_entries=256, attr_mask=0x800 (a bit this version does not define; ignored, not rejected)
dir-page-one-entry	response	83	07000000000000000000000000000000010100000002000000ff780000000002ed0100000000000000000000000000000000000044444444444444444444444444444444	related_id=7, cursor=0, final=true, count=1, entry(name=[ff78], attrs(presence=0, kind=2, mode=493, size=0, mtime_ns=0, cookie=[44;16]))
statfs	request	84		no fields
fs-info	response	85	080000000000000000100000e803000000000000f40100000000000090010000000000000a0000000000000005000000000000000400000061706673ff000000000100	related_id=8, block_size=4096, total_bytes=1000, free_bytes=500, available_bytes=400, total_inodes=10, free_inodes=5, fs_type="apfs", max_name_len=255, case_sensitive=false, normalization=nfc, read_only=false
stage-open-fresh	request	70	070000006269672e6d6b76000000400000000000a401000000000000	destination=[6269672e6d6b76], size=1073741824, digest_present=false, mode=420, resume_token=[] (start a new stage)
stage-open-resume	request	70	070000006269672e6d6b760000004000000000015a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5aa401000003000000746f6b	destination=[6269672e6d6b76], size=1073741824, digest_present=true, digest=[5a;32], mode=420, resume_token=[746f6b]
stage-opened	response	71	1400000000000000030000000000000003000000746f6b0010000000000000	related_id=20, stage_id=3, resume_token=[746f6b], staged_bytes=4096
stage-write	request	72	0300000000000000001000000000000000050000006368756e6b	stage_id=3, offset=4096, digest_present=false, data="chunk"
stage-ack	response	73	1500000000000000050000000510000000000000	related_id=21, bytes_written=5, staged_bytes=4101
stage-status	request	74	03000000000000000000000000000000	stage_id=3, cursor=0
